date,text,location
2020-03-27T18:25:43.511Z,"covid 19 ist schlimm","77.0364,38.8951"
2020-03-27T18:25:43.511Z,"ich hasse quarantiane","77.0364,34.8951"
2020-03-27T18:25:43.511Z,"wo zum geier ist merkel","75.0364,38.8951"
2020-03-27T18:25:43.511Z,"ich bin die ganze zeit am handy","74.0364,40.8951"
2020-03-27T18:25:43.511Z,"ich liebe es zuhause zu sitzen","75.0364,38.8951"
2020-03-26T18:25:43.511Z,"covid 19 ist gut","75.0364,38.8951"
2020-03-26T18:25:43.511Z,"random stuff is gut","76.0364,37.8951"
2020-03-26T18:25:43.511Z,"random stuff is schlecht","77.0364,38.8951"
2020-03-26T18:25:43.511Z,"lalala","77.0364,38.8951"
2020-03-26T18:25:43.511Z,"süße katzen sind süß","46.372394, 7.542333"
2020-03-26T18:25:43.511Z,"what is called, bless you","47.372394, 6.542333"
2020-03-26T18:25:43.511Z,"cute cats are cute","48.372394, 8.542333"
2020-03-26T18:25:43.511Z,"random1 good","49.372394, 9.542333"
2020-03-26T18:25:43.511Z,"random2 bad","47.372394, 10.542333"
2020-03-26T18:25:43.511Z,"cute cats are cute","47.372394, 11.542333"
2020-03-26T18:25:43.511Z,"random not sure but ok","47.372394, 8.542333"
2020-03-26T18:25:43.511Z,"the president is not sure but ok","47.372394, 8.542333"
2020-03-26T18:25:43.511Z,"a house not sure but ok","47.372394, 8.542333"
2020-03-26T18:25:43.511Z,"we found Facebook","47.372394, 8.542333"
