text,location,date,textHuman
"[""zzs"",""salutetofrontlinesoldiers"",""positive"",""cases"",""reported"",""pakistan"",""till"",""akram"",""ho""]","[67.99298,24.3944]",Sun Mar 29 11:51:25 +0000 2020," @z1z1s2: #SaluteToFrontLineSoldiers
More than 1,300 positive cases of coronavirus have been reported from Pakistan till now
Akram was ho…"
"[""dvatw"",""unbelievable""]","[-77.44777,38.79317]",Sun Mar 29 11:51:25 +0000 2020," @DVATW: Unbelievable."
"[""kevinolearytv"",""wow"",""canadian"",""prime"",""minister"",""justintrudeau"",""thinks"",""solve"",""problem"",""canadians"",""incre""]","[151.59373,-33.01357]",Sun Mar 29 11:51:25 +0000 2020," @kevinolearytv: Wow Canadian Prime Minister 
@JustinTrudeau
 thinks the way to solve the #CoronaVirus problem for #Canadians is to incre…"
"[""carlosbardem"",""resulta"",""obsceno"",""escuchar"",""la"",""derecha"",""quejandose"",""por"",""la"",""falta"",""de"",""camas"",""que"",""ellos"",""desmantelaron"",""por"",""la"",""falta"",""de"",""profesion""]","[-2.92528,43.26271]",Sun Mar 29 11:51:25 +0000 2020," @carlosbardem: Resulta obsceno escuchar a la derecha quejándose por la falta de camas que ellos desmantelaron, por la falta de profesion…"
"[""je"",""nai"",""meme"",""pas"",""allume"",""la"",""tele""]","[5.69387,45.17675]",Sun Mar 29 11:51:25 +0000 2020,Je n’ai même pas allumé la Télé
"[""drisapantami"",""beg"",""allah"",""swt"",""exalted"",""namesalhayyu"",""amp"",""alqayyum"",""heal"",""tested"",""positive"",""n""]","[5.23494,11.43522]",Sun Mar 29 11:51:25 +0000 2020," @DrIsaPantami: We beg Allah (SWT) with His most exalted names-AlHayyu &amp; AlQayyum to heal all those tested positive with CoronaVirus in N…"
"[""netchys"",""pourquoi"",""les"",""medecins"",""francais"",""ne"",""prescrivent"",""pas"",""la"",""chloroquine"",""avec"",""avis"",""signe"",""des"",""patientsfamille"",""sans"",""attendre"",""lautor""]","[2.61463,48.94208]",Sun Mar 29 11:51:25 +0000 2020," @netchys: Pourquoi les médecins français ne prescrivent pas la #chloroquine (avec avis signé des patients/famille) sans attendre l'autor…"
"[""una"",""sociedad"",""que"",""escucha"",""sus"",""cientificos"",""es"",""una"",""sociedad"",""avanzada"",""la"",""sociedad"",""del"",""conocimiento"",""es"",""esto"",""colegas"",""httpstcowlewavwrk""]","[2.15899,41.38879]",Sun Mar 29 11:51:25 +0000 2020,"Una sociedad que escucha a sus científicos es una sociedad avanzada. La ""sociedad del conocimiento"" es esto colegas… https://t.co/WLEwaVW7Rk"
"[""strengthen"",""immunity"",""during"",""pandemic"",""exercise"",""meditation"",""sleep"",""stress"",""management"",""httpstcobyxhgxievr""]","[-80.47922,25.44789]",Sun Mar 29 11:51:25 +0000 2020,"How to strengthen your immunity during the coronavirus pandemic: Exercise, meditation, sleep and stress management… https://t.co/bYxHGxIeVR"
"[""spectatorindex"",""cases"",""us"",""italy"",""china"",""spain"",""germany"",""france"",""iran""]","[106.84513,-6.21462]",Sun Mar 29 11:51:25 +0000 2020," @spectatorindex: Most coronavirus cases.

US: 124,697
Italy: 92,472
China: 81,439
Spain: 78,797
Germany: 58,137
France: 37,611
Iran: 35,…"
